Accession	Organism	Kingdom	Protein_Length	Cleavage_Site	label	Transmembrane_Helix_N_Terminus	fold	Type
A7TUE1	Medicago truncatula	Plants	513		0	False	4.0	train
P04921	Homo sapiens	Metazoa	128		0	True	0.0	train
Q42512	Arabidopsis thaliana	Plants	139		0	False	4.0	train
Q8IM30	Plasmodium falciparum (isolate 3D7)	Other	608		0	False	1.0	train
Q558Z2	Dictyostelium discoideum	Other	905		0	False	4.0	train
Q8W104	Arabidopsis thaliana	Plants	593		0	False	3.0	train
K4CWS6	Solanum lycopersicum	Plants	470		0	False	2.0	train
Q08380	Homo sapiens	Metazoa	585	18.0	1		1.0	train
Q80T79	Mus musculus	Metazoa	3707		0	True	2.0	train
P37090	Rattus norvegicus	Metazoa	638		0	True	3.0	train
Q5T200	Homo sapiens	Metazoa	1668		0	False	0.0	train
Q9Z2D7	Mus musculus	Metazoa	554		0	False	3.0	train
Q23997	Drosophila melanogaster	Metazoa	452	18.0	1		1.0	train
Q9D992	Mus musculus	Metazoa	256		0	False	2.0	train
Q9DBR0	Mus musculus	Metazoa	687		0	False	0.0	train
O14285	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	164		0	False	0.0	train
Q8NF50	Homo sapiens	Metazoa	2099		0	False	0.0	train
P0DO24	Arabidopsis thaliana	Plants	649		0	False	0.0	train
A0A2H1A5W4	Candidozyma auris	Fungi	679		0	False	0.0	train
P29172	Bos taurus	Metazoa	448		0	False	1.0	train
P32259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	974		0	False	2.0	train
P52591	Rattus norvegicus	Metazoa	1199		0	True	3.0	train
Q9UL40	Homo sapiens	Metazoa	294		0	False	1.0	train
P50479	Homo sapiens	Metazoa	330		0	False	1.0	train
P20013	Trametes versicolor	Fungi	372	26.0	1		4.0	train
Q15003	Homo sapiens	Metazoa	741		0	False	3.0	train
P27684	Spinacia oleracea	Plants	142		0	False	0.0	train
P91027	Caenorhabditis elegans	Metazoa	338		0	False	4.0	train
Q96255	Arabidopsis thaliana	Plants	430		0	False	0.0	train
P38326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	303		0	False	1.0	train
Q8BPM6	Mus musculus	Metazoa	367	31.0	1		4.0	train
P53867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494		0	False	4.0	train
Q945M1	Arabidopsis thaliana	Plants	117		0	False	4.0	train
Q9BQ87	Homo sapiens	Metazoa	522		0	False	2.0	train
Q9FJK3	Arabidopsis thaliana	Plants	321		0	False	1.0	train
Q12487	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	163		0	False	4.0	train
P49435	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187		0	False	1.0	train
Q2LAE1	Arabidopsis thaliana	Plants	1759		0	False	3.0	train
Q0GGX2	Mus musculus	Metazoa	1363		0	False	4.0	train
Q02721	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	264		0	False	3.0	train
Q9DB10	Mus musculus	Metazoa	107		0	True	4.0	train
P18761	Mus musculus	Metazoa	317	17.0	1		4.0	train
Q9FK13	Arabidopsis thaliana	Plants	272		0	False	3.0	train
P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18.0	1		0.0	train
A0A061ACU2	Caenorhabditis elegans	Metazoa	2442		0	True	3.0	train
A2A9C3	Mus musculus	Metazoa	3431		0	False	3.0	train
O94664	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	234		0	False	4.0	train
Q9SV55	Arabidopsis thaliana	Plants	425		0	False	1.0	train
O48818	Arabidopsis thaliana	Plants	257	20.0	1		4.0	train
Q9UDY8	Homo sapiens	Metazoa	824		0	False	3.0	train
Q7M3M8	Drosophila melanogaster	Metazoa	793		0	False	1.0	train
O59748	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335		0	False	2.0	train
P19035	Bos taurus	Metazoa	96	23.0	1		1.0	train
Q96PV7	Homo sapiens	Metazoa	902		0	False	0.0	train
Q07979	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	502		0	False	3.0	train
Q8IH18	Drosophila melanogaster	Metazoa	1010		0	False	0.0	train
P17256	Rattus norvegicus	Metazoa	395		0	False	1.0	train
Q9FH37	Arabidopsis thaliana	Plants	234		0	False	1.0	train
P83565	Rattus norvegicus	Metazoa	206		0	False	4.0	train
Q04279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960		0	False	3.0	train
O15431	Homo sapiens	Metazoa	190		0	True	0.0	train
Q99728	Homo sapiens	Metazoa	777		0	False	3.0	train
Q9PTD5	Gallus gallus	Metazoa	335		0	False	3.0	train
O74791	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	470		0	False	0.0	train
Q9LU21	Arabidopsis thaliana	Plants	204		0	False	3.0	train
Q5D869	Arabidopsis thaliana	Plants	1976		0	False	4.0	train
P16521	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1044		0	False	4.0	train
Q96JJ3	Homo sapiens	Metazoa	720		0	False	3.0	train
Q7SBR3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	86		0	False	4.0	train
Q9BRG1	Homo sapiens	Metazoa	176		0	False	1.0	train
P60896	Homo sapiens	Metazoa	70		0	False	0.0	train
Q9VYQ0	Drosophila melanogaster	Metazoa	172		0	False	1.0	train
Q9JHR7	Mus musculus	Metazoa	1019		0	False	1.0	train
Q96BN2	Homo sapiens	Metazoa	335		0	False	4.0	train
Q8WXW3	Homo sapiens	Metazoa	757		0	False	4.0	train
O42936	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	470		0	False	1.0	train
Q10740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	671		0	False	4.0	train
Q9TYT3	Caenorhabditis elegans	Metazoa	316		0	False	3.0	train
Q8IY22	Homo sapiens	Metazoa	773		0	False	2.0	train
A0A1D5PRR9	Gallus gallus	Metazoa	2041		0	False	1.0	train
Q6UX39	Homo sapiens	Metazoa	209	16.0	1		2.0	train
Q9D219	Mus musculus	Metazoa	1425		0	False	0.0	train
Q9NUQ9	Homo sapiens	Metazoa	324		0	False	3.0	train
Q7YQK4	Oryctolagus cuniculus	Metazoa	503		0	True	0.0	train
B1AXD8	Mus musculus	Metazoa	201		0	False	0.0	train
Q09LZ8	Mus musculus	Metazoa	540		0	False	2.0	train
O45784	Caenorhabditis elegans	Metazoa	183		0	False	0.0	train
Q9V9W8	Drosophila melanogaster	Metazoa	815		0	False	3.0	train
P53877	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	555		0	False	0.0	train
P45976	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	False	3.0	train
Q9Z0X1	Mus musculus	Metazoa	612		0	False	2.0	train
Q9BYE2	Homo sapiens	Metazoa	586		0	False	3.0	train
Q12381	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	906		0	False	0.0	train
Q3TH73	Mus musculus	Metazoa	532		0	True	0.0	train
Q230X8	Tetrahymena thermophila (strain SB210)	Other	423		0	False	3.0	train
Q9BWN1	Homo sapiens	Metazoa	585		0	False	2.0	train
Q7FZF1	Arabidopsis thaliana	Plants	203		0	False	3.0	train
Q1HTZ9	Aquarana catesbeiana	Metazoa	198		0	False	4.0	train
Q04364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	514		0	False	3.0	train
Q8NDZ0	Homo sapiens	Metazoa	799		0	False	4.0	train
Q04637	Homo sapiens	Metazoa	1599		0	False	0.0	train
P32897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222		0	True	2.0	train
O22788	Arabidopsis thaliana	Plants	236		0	False	4.0	train
Q7S7R6	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	315		0	False	0.0	train
Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24.0	1		4.0	train
A2AKK5	Mus musculus	Metazoa	416		0	False	0.0	train
Q6ZQX7	Homo sapiens	Metazoa	453		0	False	0.0	train
O13395	Mycosarcoma maydis	Fungi	1180		0	False	2.0	train
Q3E7A3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	74		0	True	1.0	train
P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		0	False	2.0	train
B4XT64	Oryza sativa subsp. japonica	Plants	582		0	False	2.0	train
Q18237	Caenorhabditis elegans	Metazoa	1076		0	False	2.0	train
P17540	Homo sapiens	Metazoa	419		0	False	4.0	train
P21957	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	404		0	False	3.0	train
Q969F2	Homo sapiens	Metazoa	451		0	False	1.0	train
Q96PP9	Homo sapiens	Metazoa	640		0	False	4.0	train
Q8RWS0	Arabidopsis thaliana	Plants	124		0	False	3.0	train
Q06554	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1556		0	False	0.0	train
O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845		0	False	3.0	train
Q9VSB9	Drosophila melanogaster	Metazoa	376		0	True	0.0	train
Q9HD33	Homo sapiens	Metazoa	250		0	False	4.0	train
Q8WWC4	Homo sapiens	Metazoa	291		0	False	4.0	train
H3BKT1	Mus musculus	Metazoa	185		0	False	0.0	train
Q08B36	Xenopus laevis	Metazoa	374		0	False	4.0	train
Q96AQ6	Homo sapiens	Metazoa	731		0	False	1.0	train
P70500	Rattus norvegicus	Metazoa	213		0	True	1.0	train
Q84K96	Crocus sativus	Plants	369		0	False	4.0	train
P32004	Homo sapiens	Metazoa	1257	19.0	1		1.0	train
P21784	Mus musculus	Metazoa	527		0	False	4.0	train
P47112	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	604		0	False	3.0	train
G5EGA9	Caenorhabditis elegans	Metazoa	345		0	False	0.0	train
Q948R9	Arabidopsis thaliana	Plants	314		0	False	1.0	train
Q04545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1251		0	False	1.0	train
O60830	Homo sapiens	Metazoa	172		0	True	2.0	train
Q96326	Arabidopsis thaliana	Plants	256		0	True	4.0	train
P18409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	493		0	False	4.0	train
P36161	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1157		0	False	2.0	train
Q9H299	Homo sapiens	Metazoa	93		0	False	1.0	train
P25992	Drosophila melanogaster	Metazoa	1002		0	False	3.0	train
Q7RYW7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	396		0	False	2.0	train
O54724	Mus musculus	Metazoa	392		0	False	3.0	train
Q5XF06	Arabidopsis thaliana	Plants	469		0	False	3.0	train
Q9UTP3	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	59		0	False	0.0	train
Q93V85	Arabidopsis thaliana	Plants	417		0	False	2.0	train
Q9V3Y0	Drosophila melanogaster	Metazoa	215		0	False	1.0	train
P38691	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1029		0	False	4.0	train
P10355	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		0	False	2.0	train
Q9Y5Q6	Homo sapiens	Metazoa	135	22.0	1		4.0	train
Q09961	Caenorhabditis elegans	Metazoa	148		0	False	2.0	train
P52756	Homo sapiens	Metazoa	815		0	False	2.0	train
Q12996	Homo sapiens	Metazoa	717		0	False	0.0	train
P25046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	220		0	False	1.0	train
P80686	Tenebrio molitor	Metazoa	211	16.0	1		2.0	train
O01811	Caenorhabditis elegans	Metazoa	377		0	True	3.0	train
Q05344	Drosophila melanogaster	Metazoa	723		0	False	1.0	train
P56778	Arabidopsis thaliana	Plants	473		0	True	1.0	train
Q9FNC9	Arabidopsis thaliana	Plants	99		0	True	0.0	train
Q96L08	Homo sapiens	Metazoa	255		0	False	0.0	train
Q9TW65	Caenorhabditis elegans	Metazoa	3674		0	False	3.0	train
P35732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	738		0	False	0.0	train
Q07913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	336		0	False	0.0	train
P11799	Gallus gallus	Metazoa	1906		0	False	3.0	train
